##Temp./oC;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
  49.32300;0.0000e+000;-2.8553e-002;0.96038
  49.38866;1.3496e-002;-2.8486e-002;0.96036
  49.45431;2.7556e-002;-2.8521e-002;0.96033
  49.51997;4.1880e-002;-2.8532e-002;0.96030
  49.58562;5.6163e-002;-2.8534e-002;0.96027
  49.65128;7.0423e-002;-2.8517e-002;0.96025
  49.71693;8.4632e-002;-2.8576e-002;0.96022
  49.78259;9.8782e-002;-2.8567e-002;0.96019
  49.84824;    0.11290;-2.8482e-002;0.96016
  49.91390;    0.12703;-2.8450e-002;0.96014
  49.97955;    0.14116;-2.8454e-002;0.96011
  50.04520;    0.15523;-2.8451e-002;0.96008
  50.11086;    0.16923;-2.8427e-002;0.96005
  50.17651;    0.18318;-2.8400e-002;0.96002
  50.24217;    0.19707;-2.8352e-002;0.96000
  50.30782;    0.21087;-2.8300e-002;0.95997
  50.37348;    0.22459;-2.8339e-002;0.95994
  50.43913;    0.23823;-2.8352e-002;0.95991
  50.50479;    0.25179;-2.8340e-002;0.95989
  50.57044;    0.26527;-2.8381e-002;0.95986
  50.63610;    0.27866;-2.8256e-002;0.95983
  50.70175;    0.29194;-2.8307e-002;0.95980
  50.76741;    0.30511;-2.8381e-002;0.95977
  50.83306;    0.31817;-2.8353e-002;0.95975
  50.89872;    0.33111;-2.8289e-002;0.95972
  50.96437;    0.34390;-2.8267e-002;0.95969
  51.03003;    0.35656;-2.8244e-002;0.95966
  51.09568;    0.36908;-2.8274e-002;0.95964
  51.16134;    0.38148;-2.8377e-002;0.95961
  51.22699;    0.39376;-2.8408e-002;0.95958
  51.29265;    0.40591;-2.8341e-002;0.95955
  51.35830;    0.41793;-2.8563e-002;0.95952
  51.42396;    0.42983;-2.8580e-002;0.95950
  51.48961;    0.44161;-2.8594e-002;0.95947
  51.55527;    0.45325;-2.8581e-002;0.95944
  51.62092;    0.46477;-2.8619e-002;0.95941
  51.68658;    0.47616;-2.8735e-002;0.95938
  51.75223;    0.48745;-2.8733e-002;0.95936
  51.81788;    0.49864;-2.8930e-002;0.95933
  51.88354;    0.50971;-2.9064e-002;0.95930
  51.94919;    0.52069;-2.9067e-002;0.95927
  52.01485;    0.53160;-2.9149e-002;0.95925
  52.08050;    0.54241;-2.9188e-002;0.95922
  52.14616;    0.55315;-2.9273e-002;0.95919
  52.21181;    0.56381;-2.9360e-002;0.95916
  52.27747;    0.57438;-2.9430e-002;0.95913
  52.34312;    0.58488;-2.9604e-002;0.95911
  52.40878;    0.59530;-2.9756e-002;0.95908
  52.47443;    0.60566;-2.9938e-002;0.95905
  52.54009;    0.61595;-3.0079e-002;0.95902
  52.60574;    0.62617;-3.0226e-002;0.95900
  52.67140;    0.63634;-3.0267e-002;0.95897
  52.73705;    0.64644;-3.0368e-002;0.95894
  52.80271;    0.65649;-3.0382e-002;0.95891
  52.86836;    0.66648;-3.0548e-002;0.95888
  52.93402;    0.67642;-3.0470e-002;0.95886
  52.99967;    0.68630;-3.0490e-002;0.95883
  53.06533;    0.69613;-3.0707e-002;0.95880
  53.13098;    0.70591;-3.0818e-002;0.95877
  53.19664;    0.71564;-3.0848e-002;0.95874
  53.26229;    0.72532;-3.0960e-002;0.95872
  53.32795;    0.73495;-3.1065e-002;0.95869
  53.39360;    0.74452;-3.1213e-002;0.95866
  53.45926;    0.75406;-3.1303e-002;0.95863
  53.52491;    0.76355;-3.1445e-002;0.95860
