WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 1 - 194.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1879689
Total number of data points: 156609
Test date: 21/11/2017
Test time: 17:26:10
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
-0.02	 0.00	 0.0000	 
-0.02	 0.00	 0.1410	 
-0.02	 0.00	 0.2970	 
-0.02	 0.00	 0.4380	 
-0.03	 0.00	 0.5780	 
-0.03	 0.00	 0.7500	 
0.98	 0.02	 0.8910	 
3.13	 0.06	 1.0310	 
5.94	 0.13	 1.1880	 
8.76	 0.19	 1.3280	 
11.60	 0.26	 1.4840	 
13.76	 0.32	 1.6250	 
16.60	 0.40	 1.7810	 
17.51	 0.43	 1.9220	 
17.57	 0.43	 2.0630	 
17.64	 0.44	 2.2190	 
17.62	 0.44	 2.3590	 
17.61	 0.44	 2.5000	 
17.62	 0.44	 2.6410	 
17.63	 0.44	 2.8130	 
17.64	 0.44	 2.9530	 
17.65	 0.44	 3.1250	 
17.65	 0.44	 3.2660	 
17.64	 0.44	 3.4380	 
17.64	 0.44	 3.5780	 
17.64	 0.44	 3.7340	 
17.64	 0.44	 3.8750	 
17.65	 0.44	 4.0310	 
17.65	 0.44	 4.1720	 
17.66	 0.44	 4.3440	 
17.66	 0.44	 4.4840	 
17.66	 0.44	 4.6560	 
17.66	 0.44	 4.7970	 
17.67	 0.44	 4.9530	 
17.67	 0.44	 5.0940	 
17.67	 0.44	 5.2660	 
17.68	 0.44	 5.4060	 
17.67	 0.44	 5.5630	 
17.67	 0.44	 5.7030	 
17.66	 0.44	 5.8750	 
17.66	 0.44	 6.0160	 
17.66	 0.44	 6.1720	 
17.66	 0.44	 6.3130	 
17.66	 0.44	 6.4840	 
17.67	 0.44	 6.6250	 
17.67	 0.44	 6.7810	 
17.67	 0.45	 6.9220	 
17.67	 0.45	 7.0780	 
17.67	 0.45	 7.2190	 
17.63	 0.45	 7.3910	 
17.56	 0.45	 7.5310	 
17.60	 0.46	 7.6880	 
17.62	 0.47	 7.8280	 
17.66	 0.48	 7.9840	 
17.61	 0.48	 8.1250	 
17.65	 0.49	 8.2810	 
17.70	 0.49	 8.4220	 
17.66	 0.49	 8.5940	 
17.61	 0.49	 8.7340	 
17.56	 0.50	 8.9060	 
17.50	 0.52	 9.0470	 
17.68	 0.54	 9.2030	 
17.60	 0.54	 9.3440	 
17.61	 0.54	 9.5000	 
17.61	 0.54	 9.6410	 
17.55	 0.55	 9.7970	 
17.58	 0.55	 9.9380	 
17.68	 0.56	 10.1090	 
17.64	 0.55	 10.2500	 
17.58	 0.55	 10.4060	 
17.65	 0.56	 10.5470	 
17.56	 0.56	 10.7030	 
17.72	 0.56	 10.8440	 
17.68	 0.56	 11.0160	 
17.65	 0.56	 11.1560	 
17.59	 0.56	 11.3130	 
17.65	 0.56	 11.4530	 
17.62	 0.56	 11.6090	 
