WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan\Ti6242\Ti6242-2-Old-FS\Day 5 - 7 [Fractured].W02 - 3]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 88113
Total number of data points: 7311
Test date: 27/11/2017
Test time: 11:25:22
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0	 Actuator: 1  Channel:1	 Actuator: 1  Channel:2	 
Load Current (kN)	 Stroke Current (mm)	 TIME (S)	 
-0.06	 -0.34	 0.0000	 
-0.06	 -0.34	 0.1400	 
-0.06	 -0.34	 0.3280	 
-0.06	 -0.34	 0.4680	 
-0.06	 -0.34	 0.6090	 
-0.06	 -0.34	 0.7500	 
-0.06	 -0.34	 0.8900	 
-0.06	 -0.34	 1.0310	 
-0.05	 -0.34	 1.2030	 
-0.05	 -0.34	 1.3590	 
-0.06	 -0.34	 1.5150	 
0.72	 -0.32	 1.6560	 
3.46	 -0.25	 1.8120	 
6.49	 -0.03	 1.9530	 
9.30	 0.04	 2.1090	 
11.42	 0.10	 2.2500	 
14.25	 0.18	 2.4220	 
17.10	 0.27	 2.5620	 
17.77	 0.29	 2.7180	 
17.85	 0.30	 2.8590	 
17.81	 0.29	 3.0150	 
17.80	 0.29	 3.1560	 
17.80	 0.29	 3.3120	 
17.80	 0.30	 3.4530	 
17.81	 0.29	 3.6090	 
17.81	 0.30	 3.7500	 
17.82	 0.30	 3.9060	 
17.82	 0.29	 4.0470	 
17.82	 0.29	 4.2180	 
17.82	 0.30	 4.3590	 
17.82	 0.30	 4.5150	 
17.82	 0.30	 4.6560	 
17.82	 0.30	 4.8120	 
17.82	 0.30	 4.9530	 
17.81	 0.29	 5.1090	 
17.81	 0.30	 5.2500	 
17.81	 0.30	 5.4220	 
17.81	 0.30	 5.5620	 
17.81	 0.30	 5.7180	 
17.81	 0.30	 5.8590	 
17.81	 0.30	 6.0310	 
17.80	 0.30	 6.1720	 
17.80	 0.30	 6.3430	 
17.80	 0.30	 6.4840	 
17.80	 0.30	 6.6400	 
17.80	 0.30	 6.7810	 
17.80	 0.30	 6.9530	 
17.80	 0.30	 7.0930	 
17.80	 0.30	 7.2500	 
17.80	 0.30	 7.3900	 
17.80	 0.30	 7.5470	 
17.79	 0.30	 7.6870	 
17.79	 0.30	 7.8430	 
17.79	 0.30	 7.9840	 
17.79	 0.30	 8.1400	 
17.79	 0.30	 8.2810	 
17.79	 0.30	 8.4530	 
17.79	 0.30	 8.5930	 
17.79	 0.30	 8.7650	 
17.79	 0.30	 8.9060	 
17.79	 0.30	 9.0780	 
17.79	 0.30	 9.2180	 
17.79	 0.30	 9.3900	 
17.79	 0.30	 9.5310	 
17.79	 0.30	 9.6870	 
17.79	 0.30	 9.8280	 
17.79	 0.30	 9.9840	 
17.79	 0.30	 10.1250	 
17.78	 0.30	 10.2970	 
17.79	 0.30	 10.4370	 
17.78	 0.30	 10.5930	 
17.78	 0.29	 10.7340	 
17.78	 0.30	 10.8900	 
17.78	 0.30	 11.0310	 
17.78	 0.30	 11.1870	 
17.75	 0.30	 11.3280	 
17.71	 0.30	 11.5000	 
17.66	 0.30	 11.6400	 
17.81	 0.31	 11.7970	 
17.81	 0.31	 11.9370	 
17.73	 0.31	 12.0930	 
17.69	 0.31	 12.2340	 
17.66	 0.32	 12.3900	 
17.80	 0.34	 12.5310	 
17.70	 0.34	 12.6870	 
17.77	 0.34	 12.8280	 
17.78	 0.35	 12.9840	 
