WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-3-Old-FS\Day 2 - 11351.W02 - 2]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1781181
Total number of data points: 148400
Test date: 08/12/2017
Test time: 17:04:18
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
0.00,  0.00,  0.0000,  
0.00,  0.00,  0.1410,  
0.00,  0.00,  0.2970,  
0.00,  0.00,  0.4540,  
0.00,  0.00,  0.5940,  
0.00,  0.00,  0.7350,  
0.00,  0.00,  0.8750,  
0.27,  0.00,  1.0160,  
4.67,  0.10,  1.1720,  
7.60,  0.16,  1.3440,  
10.54,  0.24,  1.4850,  
13.61,  0.32,  1.6250,  
15.90,  0.38,  1.7660,  
18.71,  0.45,  1.9220,  
15.41,  0.38,  2.0630,  
12.59,  0.31,  2.2350,  
9.72,  0.24,  2.3910,  
6.64,  0.16,  2.5470,  
4.33,  0.11,  2.6880,  
1.28,  0.04,  2.8600,  
1.71,  0.05,  3.0000,  
4.63,  0.11,  3.1720,  
7.66,  0.18,  3.3130,  
10.73,  0.26,  3.4850,  
13.73,  0.33,  3.6250,  
16.84,  0.41,  3.7970,  
18.07,  0.44,  3.9380,  
15.69,  0.38,  4.0940,  
12.79,  0.31,  4.2350,  
9.68,  0.24,  4.4070,  
6.61,  0.16,  4.5470,  
3.58,  0.10,  4.7040,  
1.25,  0.04,  4.8440,  
1.97,  0.06,  5.0000,  
4.70,  0.12,  5.1410,  
7.73,  0.18,  5.2970,  
10.03,  0.24,  5.4380,  
13.08,  0.32,  5.6100,  
16.12,  0.39,  5.7500,  
18.78,  0.46,  5.9220,  
15.62,  0.38,  6.0630,  
12.78,  0.31,  6.2350,  
9.65,  0.24,  6.3750,  
6.67,  0.17,  6.5320,  
4.31,  0.11,  6.6720,  
1.32,  0.05,  6.8290,  
1.86,  0.05,  6.9690,  
4.75,  0.12,  7.1410,  
7.74,  0.19,  7.2820,  
10.21,  0.25,  7.4380,  
13.29,  0.33,  7.5790,  
16.26,  0.41,  7.7350,  
18.42,  0.47,  7.8750,  
15.70,  0.41,  8.0470,  
13.50,  0.36,  8.1880,  
10.46,  0.30,  8.3600,  
7.41,  0.23,  8.5000,  
4.27,  0.17,  8.6720,  
1.29,  0.11,  8.8130,  
1.96,  0.12,  8.9690,  
4.06,  0.16,  9.1100,  
7.08,  0.22,  9.2660,  
10.11,  0.29,  9.4070,  
13.18,  0.36,  9.5630,  
15.65,  0.41,  9.7040,  
18.56,  0.48,  9.8600,  
16.46,  0.43,  10.0000,  
13.52,  0.37,  10.1720,  
10.46,  0.30,  10.3130,  
8.16,  0.25,  10.4690,  
4.99,  0.19,  10.6100,  
2.02,  0.13,  10.7820,  
1.13,  0.11,  10.9220,  
4.05,  0.17,  11.0790,  
6.34,  0.21,  11.2190,  
9.39,  0.28,  11.3750,  
12.46,  0.34,  11.5160,  
15.52,  0.41,  11.6720,  
17.81,  0.46,  11.8130,  
17.11,  0.45,  11.9850,  
