WORKSHOP 3 EXPORTED DATA: [C:\Workshop 96\Data Manager\Sharan Chandran\Ti6242\Ti6242-4-Old-FS\Day 1 - 11222.W02 - 1]
*************************************************************************************************
Source of data: ToolKit
WS3 File Version: 1.04
Number of bytes in subfile: 1761597
Total number of data points: 146768
Test date: 11/12/2017
Test time: 17:15:37
Player Step: 1
Step Capture No: 1
Actuator: 2
*************************************************************************************************
Actuator: 1  Channel:0,  Actuator: 1  Channel:1,  Actuator: 1  Channel:2,  
Load Current (kN),  Stroke Current (mm),  TIME (S),  
-0.03,  0.00,  0.0000,  
-0.03,  0.00,  0.1560,  
-0.03,  0.00,  0.3120,  
-0.03,  0.00,  0.4690,  
-0.03,  0.00,  0.6090,  
-0.03,  0.00,  0.7660,  
-0.03,  0.00,  0.9060,  
3.36,  0.07,  1.0620,  
5.86,  0.14,  1.2030,  
7.94,  0.20,  1.3590,  
10.02,  0.26,  1.5000,  
12.70,  0.34,  1.6560,  
15.60,  0.43,  1.7970,  
15.27,  0.43,  1.9690,  
12.26,  0.35,  2.1090,  
9.91,  0.28,  2.2660,  
7.89,  0.23,  2.4060,  
4.93,  0.15,  2.5620,  
2.16,  0.08,  2.7030,  
0.09,  0.03,  2.8750,  
2.14,  0.07,  3.0160,  
5.54,  0.16,  3.1870,  
7.60,  0.21,  3.3280,  
10.37,  0.29,  3.5000,  
13.13,  0.37,  3.6410,  
15.88,  0.45,  3.8120,  
15.42,  0.44,  3.9530,  
12.69,  0.36,  4.1090,  
10.67,  0.31,  4.2500,  
7.90,  0.23,  4.4060,  
5.15,  0.16,  4.5470,  
2.36,  0.09,  4.7030,  
0.35,  0.04,  4.8440,  
2.25,  0.08,  5.0000,  
4.99,  0.15,  5.1410,  
7.73,  0.22,  5.2970,  
9.80,  0.28,  5.4370,  
12.54,  0.36,  5.6090,  
15.31,  0.43,  5.7500,  
16.19,  0.46,  5.9220,  
13.45,  0.39,  6.0620,  
10.69,  0.31,  6.2340,  
7.94,  0.24,  6.3750,  
5.17,  0.17,  6.5470,  
2.41,  0.10,  6.7030,  
0.28,  0.05,  6.8590,  
