#FILE:Au_samp.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:pureAu
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:MET
#DATE/TIME:01.12.2017 17:26
#CORR. FILE:Au.ngb-bs3
#LABORATORY:DB
#OPERATOR:Shalini
#REMARK:
#SAMPLE:pureAu
#SAMPLE MASS /mg:37.480
#MATERIAL:
#REFERENCE:Shalini
#REFERENCE MASS /mg:0.002
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0.0
#REFERENCE CRUCIBLE MASS /mg:0.0
#CORR. CODE:020
#EXO:+1
#RANGE:  50/10.0(K/min)/1100
#SEGMENT:S1/2

##Temp./oC;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
  49.19600;0.0000e+000;-1.0597e-002;0.96044
  49.26167;1.5003e-002;-1.0697e-002;0.96041
  49.32733;2.9457e-002;-1.0658e-002;0.96038
  49.39300;4.3871e-002;-1.0727e-002;0.96036
  49.45866;5.8246e-002;-1.0792e-002;0.96033
  49.52433;7.2544e-002;-1.0705e-002;0.96030
  49.58999;8.6744e-002;-1.0620e-002;0.96027
  49.65566;    0.10089;-1.0737e-002;0.96024
  49.72133;    0.11511;-1.0720e-002;0.96022
  49.78699;    0.12926;-1.0716e-002;0.96019
  49.85266;    0.14336;-1.0664e-002;0.96016
  49.91832;    0.15740;-1.0614e-002;0.96013
  49.98399;    0.17139;-1.0585e-002;0.96011
  50.04966;    0.18532;-1.0661e-002;0.96008
  50.11532;    0.19917;-1.0539e-002;0.96005
  50.18099;    0.21293;-1.0502e-002;0.96002
  50.24665;    0.22661;-1.0496e-002;0.95999
  50.31232;    0.24019;-1.0561e-002;0.95997
  50.37798;    0.25368;-1.0578e-002;0.95994
  50.44365;    0.26709;-1.0411e-002;0.95991
  50.50932;    0.28038;-1.0415e-002;0.95988
  50.57498;    0.29358;-1.0619e-002;0.95986
  50.64065;    0.30664;-1.0456e-002;0.95983
  50.70631;    0.31957;-1.0473e-002;0.95980
  50.77198;    0.33239;-1.0421e-002;0.95977
  50.83765;    0.34508;-1.0485e-002;0.95974
  50.90331;    0.35763;-1.0618e-002;0.95972
  50.96898;    0.37004;-1.0797e-002;0.95969
  51.03464;    0.38230;-1.0802e-002;0.95966
  51.10031;    0.39442;-1.0835e-002;0.95963
  51.16598;    0.40641;-1.0632e-002;0.95961
  51.23164;    0.41828;-1.0802e-002;0.95958
  51.29731;    0.43004;-1.0947e-002;0.95955
  51.36297;    0.44168;-1.0965e-002;0.95952
  51.42864;    0.45321;-1.0927e-002;0.95949
  51.49430;    0.46462;-1.0922e-002;0.95947
  51.55997;    0.47591;-1.0951e-002;0.95944
  51.62564;    0.48711;-1.0998e-002;0.95941
  51.69130;    0.49820;-1.1117e-002;0.95938
  51.75697;    0.50920;-1.1199e-002;0.95936
  51.82263;    0.52010;-1.1373e-002;0.95933
  51.88830;    0.53091;-1.1224e-002;0.95930
  51.95397;    0.54162;-1.1550e-002;0.95927
  52.01963;    0.55226;-1.1637e-002;0.95924
  52.08530;    0.56282;-1.1586e-002;0.95922
  52.15096;    0.57333;-1.1524e-002;0.95919
  52.21663;    0.58377;-1.1592e-002;0.95916
  52.28230;    0.59414;-1.1669e-002;0.95913
  52.34796;    0.60446;-1.1715e-002;0.95910
  52.41363;    0.61472;-1.1834e-002;0.95908
  52.47929;    0.62491;-1.1685e-002;0.95905
  52.54496;    0.63505;-1.1871e-002;0.95902
  52.61062;    0.64513;-1.1718e-002;0.95899
  52.67629;    0.65516;-1.1696e-002;0.95897
  52.74196;    0.66513;-1.1981e-002;0.95894
  52.80762;    0.67505;-1.2192e-002;0.95891
  52.87329;    0.68492;-1.2368e-002;0.95888
  52.93895;    0.69474;-1.2392e-002;0.95885
  53.00462;    0.70451;-1.2403e-002;0.95883
  53.07029;    0.71425;-1.2507e-002;0.95880
  53.13595;    0.72393;-1.2536e-002;0.95877
  53.20162;    0.73357;-1.2545e-002;0.95874
  53.26728;    0.74318;-1.2547e-002;0.95871
  53.33295;    0.75275;-1.2492e-002;0.95869
  53.39862;    0.76228;-1.2565e-002;0.95866
  53.46428;    0.77176;-1.2643e-002;0.95863
  53.52995;    0.78120;-1.2708e-002;0.95860
  53.59561;    0.79059;-1.2760e-002;0.95857
  53.66128;    0.79995;-1.2762e-002;0.95855
  53.72694;    0.80927;-1.2818e-002;0.95852
  53.79261;    0.81855;-1.2862e-002;0.95849
  53.85828;    0.82778;-1.2965e-002;0.95846
  53.92394;    0.83698;-1.2844e-002;0.95843
  53.98961;    0.84614;-1.2945e-002;0.95841
  54.05527;    0.85526;-1.3017e-002;0.95838
  54.12094;    0.86434;-1.3065e-002;0.95835
  54.18661;    0.87338;-1.2999e-002;0.95832
  54.25227;    0.88239;-1.3032e-002;0.95830
  54.31794;    0.89136;-1.3149e-002;0.95827
