#FILE:Au_samp.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:pureAu
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:MET
#DATE/TIME:01.12.2017 17:26
#CORR. FILE:Au.ngb-bs3
#LABORATORY:DB
#OPERATOR:Shalini
#REMARK:
#SAMPLE:pureAu
#SAMPLE MASS /mg:37.480
#MATERIAL:
#REFERENCE:Shalini
#REFERENCE MASS /mg:0.002
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0.0
#REFERENCE CRUCIBLE MASS /mg:0.0
#CORR. CODE:020
#EXO:+1
#RANGE:1100/10.0(K/min)/  25
#SEGMENT:S2/2

##Temp./oC;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
  70.28300;212.49333;1.2282e-002;0.95137
  70.34735;212.47472;1.2202e-002;0.95134
  70.41170;212.45938;1.2264e-002;0.95132
  70.47605;212.44355;1.2412e-002;0.95129
  70.54040;212.42841;1.2282e-002;0.95126
  70.60475;212.41223;1.2342e-002;0.95123
  70.66910;212.39618;1.2389e-002;0.95120
  70.73345;212.37967;1.2262e-002;0.95117
  70.79780;212.36404;1.2349e-002;0.95115
  70.86215;212.34833;1.2402e-002;0.95112
  70.92650;212.33245;1.2292e-002;0.95109
  70.99085;212.31705;1.2263e-002;0.95106
  71.05520;212.30167;1.2371e-002;0.95103
  71.11956;212.28636;1.2353e-002;0.95100
  71.18391;212.27073;1.2456e-002;0.95098
  71.24826;212.25477;1.2547e-002;0.95095
  71.31261;212.23876;1.2447e-002;0.95092
  71.37696;212.22259;1.2488e-002;0.95089
  71.44131;212.20728;1.2542e-002;0.95086
  71.50566;212.19162;1.2594e-002;0.95084
  71.57001;212.17598;1.2499e-002;0.95081
  71.63436;212.16089;1.2594e-002;0.95078
  71.69871;212.14524;1.2553e-002;0.95075
  71.76306;212.12896;1.2529e-002;0.95072
  71.82741;212.11368;1.2441e-002;0.95069
  71.89176;212.09858;1.2435e-002;0.95067
  71.95611;212.08342;1.2312e-002;0.95064
  72.02046;212.06908;1.2333e-002;0.95061
  72.08481;212.05417;1.2394e-002;0.95058
  72.14917;212.03883;1.2478e-002;0.95055
  72.21352;212.02389;1.2506e-002;0.95052
  72.27787;212.00846;1.2553e-002;0.95050
  72.34222;211.99306;1.2530e-002;0.95047
  72.40657;211.97775;1.2680e-002;0.95044
  72.47092;211.96232;1.2632e-002;0.95041
  72.53527;211.94741;1.2572e-002;0.95038
  72.59962;211.93273;1.2658e-002;0.95036
  72.66397;211.91789;1.2721e-002;0.95033
  72.72832;211.90249;1.2689e-002;0.95030
  72.79267;211.88688;1.2792e-002;0.95027
  72.85702;211.87082;1.2791e-002;0.95024
  72.92137;211.85529;1.2805e-002;0.95021
  72.98572;211.84006;1.2704e-002;0.95019
  73.05007;211.82549;1.2784e-002;0.95016
  73.11442;211.81079;1.2729e-002;0.95013
  73.17878;211.79563;1.2839e-002;0.95010
  73.24313;211.77984;1.2835e-002;0.95007
  73.30748;211.76476;1.2708e-002;0.95004
  73.37183;211.74902;1.2733e-002;0.95002
  73.43618;211.73386;1.2763e-002;0.94999
  73.50053;211.71903;1.2738e-002;0.94996
  73.56488;211.70316;1.2794e-002;0.94993
  73.62923;211.68834;1.2926e-002;0.94990
  73.69358;211.67269;1.2861e-002;0.94987
  73.75793;211.65795;1.2806e-002;0.94985
  73.82228;211.64286;1.2914e-002;0.94982
  73.88663;211.62784;1.2878e-002;0.94979
  73.95098;211.61307;1.2816e-002;0.94976
  74.01533;211.59804;1.2840e-002;0.94973
  74.07968;211.58322;1.2881e-002;0.94970
  74.14403;211.56885;1.2952e-002;0.94968
  74.20839;211.55445;1.2920e-002;0.94965
  74.27274;211.53956;1.2857e-002;0.94962
  74.33709;211.52481;1.2864e-002;0.94959
  74.40144;211.50965;1.2843e-002;0.94956
  74.46579;211.49461;1.2918e-002;0.94953
  74.53014;211.48045;1.2843e-002;0.94951
  74.59449;211.46607;1.2869e-002;0.94948
  74.65884;211.45143;1.2869e-002;0.94945
  74.72319;211.43654;1.2887e-002;0.94942
  74.78754;211.42126;1.2959e-002;0.94939
  74.85189;211.40603;1.3019e-002;0.94936
  74.91624;211.39092;1.3066e-002;0.94933
  74.98059;211.37616;1.3043e-002;0.94931
  75.04494;211.36205;1.3138e-002;0.94928
  75.10929;211.34710;1.3143e-002;0.94925
  75.17364;211.33290;1.3052e-002;0.94922
  75.23800;211.31853;1.3077e-002;0.94919
  75.30235;211.30341;1.3060e-002;0.94916
  75.36670;211.28938;1.3006e-002;0.94914
  75.43105;211.27462;1.3015e-002;0.94911
  75.49540;211.25957;1.3046e-002;0.94908
  75.55975;211.24473;1.3099e-002;0.94905
  75.62410;211.23029;1.3064e-002;0.94902
  75.68845;211.21605;1.3125e-002;0.94899
  75.75280;211.20192;1.3241e-002;0.94897
  75.81715;211.18807;1.3179e-002;0.94894
  75.88150;211.17318;1.3302e-002;0.94891
  75.94585;211.15840;1.3266e-002;0.94888
  76.01020;211.14375;1.3251e-002;0.94885
  76.07455;211.12848;1.3346e-002;0.94882
  76.13890;211.11508;1.3330e-002;0.94879
  76.20325;211.10116;1.3342e-002;0.94877
  76.26760;211.08675;1.3367e-002;0.94874
  76.33196;211.07250;1.3525e-002;0.94871
  76.39631;211.05647;1.3559e-002;0.94868
  76.46066;211.04119;1.3451e-002;0.94865
  76.52501;211.02664;1.3390e-002;0.94862
  76.58936;211.01267;1.3434e-002;0.94860
  76.65371;210.99875;1.3369e-002;0.94857
  76.71806;210.98504;1.3406e-002;0.94854
  76.78241;210.97088;1.3461e-002;0.94851
  76.84676;210.95687;1.3500e-002;0.94848
  76.91111;210.94313;1.3392e-002;0.94845
  76.97546;210.92907;1.3307e-002;0.94842
  77.03981;210.91491;1.3257e-002;0.94840
  77.10416;210.90050;1.3323e-002;0.94837
  77.16851;210.88572;1.3351e-002;0.94834
  77.23286;210.87107;1.3303e-002;0.94831
  77.29721;210.85707;1.3393e-002;0.94828
  77.36157;210.84313;1.3461e-002;0.94825
  77.42592;210.82953;1.3362e-002;0.94823
  77.49027;210.81584;1.3291e-002;0.94820
  77.55462;210.80123;1.3372e-002;0.94817
  77.61897;210.78687;1.3439e-002;0.94814
  77.68332;210.77206;1.3480e-002;0.94811
  77.74767;210.75804;1.3570e-002;0.94808
