#FILE:Ti6242.ngb-ds3
#FORMAT:NETZSCH5
#FTYPE:ASCII
#IDENTITY:As Received
#DECIMAL:POINT
#SEPARATOR:SEMICOLON
#MTYPE:DSC
#INSTRUMENT:NETZSCH STA 449F3
#PROJECT:MET
#DATE/TIME:04.12.2017 16:45
#CORR. FILE:Ti6242.ngb-bs3
#LABORATORY:DB
#OPERATOR:Sharan
#REMARK:
#SAMPLE:Ti6242
#SAMPLE MASS /mg:57.898
#MATERIAL:
#REFERENCE:Shalini
#REFERENCE MASS /mg:0.002
#TYPE OF CRUCIBLE:DSC/TG pan Al2O3
#SAMPLE CRUCIBLE MASS /mg:0.0
#REFERENCE CRUCIBLE MASS /mg:0.0
#CORR. CODE:020
#EXO:+1
#RANGE:1100/10.0(K/min)/  25
#SEGMENT:S2/2

##Temp./oC;Time/min;DSC/(mW/mg);Sensit./(uV/mW)
  72.34600;212.49250; 2.6300e-002;0.95047
  72.41022;212.47908; 2.6356e-002;0.95044
  72.47444;212.46345; 2.6424e-002;0.95041
  72.53867;212.44803; 2.6463e-002;0.95038
  72.60289;212.43226; 2.6500e-002;0.95035
  72.66711;212.41589; 2.6622e-002;0.95033
  72.73133;212.39946; 2.6571e-002;0.95030
  72.79555;212.38325; 2.6516e-002;0.95027
  72.85977;212.36665; 2.6511e-002;0.95024
  72.92399;212.35052; 2.6615e-002;0.95021
  72.98822;212.33429; 2.6693e-002;0.95018
  73.05244;212.31770; 2.6733e-002;0.95016
  73.11666;212.30169; 2.6769e-002;0.95013
  73.18088;212.28531; 2.6911e-002;0.95010
  73.24510;212.26973; 2.6937e-002;0.95007
  73.30932;212.25440; 2.6916e-002;0.95004
  73.37354;212.23846; 2.6913e-002;0.95001
  73.43777;212.22314; 2.7025e-002;0.94999
  73.50199;212.20708; 2.7046e-002;0.94996
  73.56621;212.19089; 2.7040e-002;0.94993
  73.63043;212.17526; 2.6905e-002;0.94990
  73.69465;212.15898; 2.7063e-002;0.94987
  73.75887;212.14258; 2.7052e-002;0.94985
  73.82310;212.12707; 2.7059e-002;0.94982
  73.88732;212.11122; 2.7283e-002;0.94979
  73.95154;212.09571; 2.7220e-002;0.94976
  74.01576;212.07931; 2.7277e-002;0.94973
  74.07998;212.06241; 2.7307e-002;0.94970
  74.14420;212.04601; 2.7323e-002;0.94968
  74.20842;212.02991; 2.7299e-002;0.94965
