 ,Area,%Area
1,11.599,100
2,2.916,100
3,7.553,100
4,155.795,100
5,59.520,100
6,0.473,100
7,7.855,100
8,11.626,100
9,0.013,100
10,60.229,100
11,13.438,100
12,6.988,100
13,41.747,100
14,108.229,100
15,42.417,100
16,27.547,100
17,3.494,100
18,54.817,100
19,19.100,100
20,85.595,100
21,29.254,100
22,4.243,100
23,0.039,100
24,120.827,100
25,0.013,100
26,10.903,100
27,5.635,100
28,2.036,100
29,34.850,100
30,0.053,100
31,0.013,100
32,77.779,100
33,0.013,100
34,22.515,100
35,1.432,100
36,0.013,100
37,32.617,100
38,46.699,100
39,1.195,100
40,0.013,100
41,143.263,100
42,3.140,100
43,0.026,100
44,39.146,100
45,0.013,100
46,0.355,100
47,32.512,100
48,36.098,100
49,0.158,100
50,0.959,100
51,47.737,100
52,0.368,100
53,12.558,100
54,33.734,100
55,4.663,100
56,2.378,100
57,11.337,100
58,0.026,100
59,36.308,100
60,1.471,100
61,14.791,100
62,13.714,100
63,0.039,100
64,0.552,100
65,9.813,100
66,0.525,100
67,0.013,100
68,37.097,100
69,147.322,100
70,39.658,100
71,43.691,100
72,18.220,100
73,7.172,100
74,0.683,100
75,3.915,100
76,0.013,100
77,1.931,100
78,2.496,100
79,110.410,100
80,3.232,100
81,32.946,100
82,0.552,100
83,0.013,100
84,0.039,100
85,0.683,100
86,61.490,100
87,26.614,100
88,185.641,100
89,19.415,100
90,0.013,100
91,14.910,100
92,86.830,100
93,7.041,100
94,14.200,100
95,10.745,100
96,0.026,100
97,1.655,100
98,0.013,100
99,38.463,100
100,32.630,100
101,90.272,100
102,7.291,100
103,20.046,100
104,2.798,100
105,25.747,100
106,14.345,100
107,0.079,100
108,15.396,100
109,8.617,100
110,0.053,100
111,0.079,100
112,25.629,100
113,0.013,100
114,0.013,100
115,0.013,100
116,52.138,100
117,0.013,100
118,0.013,100
119,6.345,100
120,42.377,100
121,176.301,100
122,59.573,100
123,32.368,100
124,4.650,100
125,1.287,100
126,5.846,100
127,5.254,100
128,6.450,100
129,14.883,100
130,19.428,100
131,0.013,100
132,6.621,100
133,0.013,100
134,30.673,100
135,32.867,100
136,0.013,100
137,38.962,100
138,41.576,100
139,11.691,100
140,4.900,100
141,34.614,100
142,7.908,100
143,4.204,100
144,7.461,100
145,11.980,100
146,0.013,100
147,6.831,100
148,0.026,100
149,83.099,100
150,9.077,100
151,0.092,100
152,0.066,100
153,31.317,100
154,84.794,100
155,4.874,100
156,66.351,100
157,3.678,100
158,13.924,100
159,8.644,100
160,7.028,100
161,13.412,100
162,7.987,100
163,8.709,100
164,3.809,100
165,16.144,100
166,1.340,100
