No.	Pos. [°2Th.]	Iobs [cts]	Icalc [cts]	Iback [cts]	CT [s]	ESD	D spacings
1	30.0097	166.9953	 	 	224.7900	 	2.97527
2	30.0427	191.6836	 	 	224.7900	 	2.97207
3	30.0757	162.7597	 	 	224.7900	 	2.96889
4	30.1087	179.3172	 	 	224.7900	 	2.96571
5	30.1417	169.5568	 	 	224.7900	 	2.96254
6	30.1747	171.8106	 	 	224.7900	 	2.95937
7	30.2077	166.4556	 	 	224.7900	 	2.95621
8	30.2407	166.0003	 	 	224.7900	 	2.95306
9	30.2737	156.1130	 	 	224.7900	 	2.94992
10	30.3067	172.7245	 	 	224.7900	 	2.94678
11	30.3397	168.0118	 	 	224.7900	 	2.94365
12	30.3727	161.8348	 	 	224.7900	 	2.94053
13	30.4057	175.4212	 	 	224.7900	 	2.93741
14	30.4387	172.1508	 	 	224.7900	 	2.93430
15	30.4717	157.8322	 	 	224.7900	 	2.93120
16	30.5047	151.7588	 	 	224.7900	 	2.92810
17	30.5377	174.1344	 	 	224.7900	 	2.92502
18	30.5707	171.3644	 	 	224.7900	 	2.92193
19	30.6037	161.2759	 	 	224.7900	 	2.91886
20	30.6367	171.9170	 	 	224.7900	 	2.91579
21	30.6697	167.7815	 	 	224.7900	 	2.91273
22	30.7027	156.1860	 	 	224.7900	 	2.90967
23	30.7357	172.4912	 	 	224.7900	 	2.90662
24	30.7687	171.4894	 	 	224.7900	 	2.90358
25	30.8017	169.3935	 	 	224.7900	 	2.90054
26	30.8347	154.9531	 	 	224.7900	 	2.89752
27	30.8677	162.7694	 	 	224.7900	 	2.89449
28	30.9007	160.7788	 	 	224.7900	 	2.89148
29	30.9337	171.5054	 	 	224.7900	 	2.88847
30	30.9667	162.8897	 	 	224.7900	 	2.88546
31	30.9997	153.6210	 	 	224.7900	 	2.88247
32	31.0327	152.1761	 	 	224.7900	 	2.87948
33	31.0657	152.7866	 	 	224.7900	 	2.87649
34	31.0987	148.1725	 	 	224.7900	 	2.87352
35	31.1317	143.4301	 	 	224.7900	 	2.87055
36	31.1647	150.8054	 	 	224.7900	 	2.86758
37	31.1977	154.8209	 	 	224.7900	 	2.86462
