No.,Pos. [°2Th.],Iobs [cts],Icalc [cts],Iback [cts],CT [s],ESD,D spacings
1,30.0097,156.9955, , ,224.7900, ,2.97527
2,30.0427,154.0383, , ,224.7900, ,2.97207
3,30.0757,144.2534, , ,224.7900, ,2.96889
4,30.1087,166.1275, , ,224.7900, ,2.96571
5,30.1417,139.4674, , ,224.7900, ,2.96254
6,30.1747,138.9370, , ,224.7900, ,2.95937
7,30.2077,152.8622, , ,224.7900, ,2.95621
8,30.2407,154.0003, , ,224.7900, ,2.95306
9,30.2737,172.8761, , ,224.7900, ,2.94992
10,30.3067,151.9589, , ,224.7900, ,2.94678
11,30.3397,135.0232, , ,224.7900, ,2.94365
12,30.3727,148.4970, , ,224.7900, ,2.94053
13,30.4057,149.3037, , ,224.7900, ,2.93741
14,30.4387,146.4934, , ,224.7900, ,2.93430
15,30.4717,145.1773, , ,224.7900, ,2.93120
16,30.5047,147.4314, , ,224.7900, ,2.92810
17,30.5377,139.2253, , ,224.7900, ,2.92502
18,30.5707,126.7941, , ,224.7900, ,2.92193
19,30.6037,146.4012, , ,224.7900, ,2.91886
20,30.6367,140.0836, , ,224.7900, ,2.91579
21,30.6697,132.2644, , ,224.7900, ,2.91273
22,30.7027,136.1419, , ,224.7900, ,2.90967
23,30.7357,142.3316, , ,224.7900, ,2.90662
24,30.7687,145.4188, , ,224.7900, ,2.90358
25,30.8017,146.6969, , ,224.7900, ,2.90054
26,30.8347,134.0050, , ,224.7900, ,2.89752
27,30.8677,118.6017, , ,224.7900, ,2.89449
28,30.9007,137.0542, , ,224.7900, ,2.89148
29,30.9337,160.6291, , ,224.7900, ,2.88847
30,30.9667,154.3239, , ,224.7900, ,2.88546
31,30.9997,146.3796, , ,224.7900, ,2.88247
32,31.0327,141.1358, , ,224.7900, ,2.87948
33,31.0657,139.1911, , ,224.7900, ,2.87649
34,31.0987,133.0069, , ,224.7900, ,2.87352
35,31.1317,132.5614, , ,224.7900, ,2.87055
36,31.1647,148.8229, , ,224.7900, ,2.86758
37,31.1977,141.5647, , ,224.7900, ,2.86462
38,31.2307,130.1936, , ,224.7900, ,2.86167
39,31.2637,143.9115, , ,224.7900, ,2.85873
40,31.2967,152.9864, , ,224.7900, ,2.85579
41,31.3297,142.6085, , ,224.7900, ,2.85285
42,31.3627,142.1519, , ,224.7900, ,2.84993
43,31.3957,154.3454, , ,224.7900, ,2.84701
44,31.4287,161.1078, , ,224.7900, ,2.84409
45,31.4617,154.4630, , ,224.7900, ,2.84119
46,31.4947,143.8802, , ,224.7900, ,2.83828
47,31.5277,146.4895, , ,224.7900, ,2.83539
48,31.5607,134.4780, , ,224.7900, ,2.83250
49,31.5937,128.2911, , ,224.7900, ,2.82962
50,31.6267,142.9473, , ,224.7900, ,2.82674
51,31.6597,145.4818, , ,224.7900, ,2.82387
52,31.6927,136.3555, , ,224.7900, ,2.82100
53,31.7257,135.2872, , ,224.7900, ,2.81814
54,31.7587,138.9298, , ,224.7900, ,2.81529
55,31.7917,141.8934, , ,224.7900, ,2.81244
56,31.8247,122.5707, , ,224.7900, ,2.80960
57,31.8577,137.6732, , ,224.7900, ,2.80677
58,31.8907,146.1982, , ,224.7900, ,2.80394
59,31.9237,138.7336, , ,224.7900, ,2.80111
60,31.9567,132.6646, , ,224.7900, ,2.79830
61,31.9897,119.6561, , ,224.7900, ,2.79549
62,32.0227,132.8136, , ,224.7900, ,2.79268
63,32.0557,149.2080, , ,224.7900, ,2.78988
64,32.0887,150.6196, , ,224.7900, ,2.78709
65,32.1217,149.7466, , ,224.7900, ,2.78430
66,32.1547,143.3182, , ,224.7900, ,2.78152
67,32.1877,170.5319, , ,224.7900, ,2.77874
68,32.2207,134.7948, , ,224.7900, ,2.77597
69,32.2537,120.0806, , ,224.7900, ,2.77320
70,32.2867,140.6688, , ,224.7900, ,2.77045
71,32.3197,148.8856, , ,224.7900, ,2.76769
72,32.3527,125.5048, , ,224.7900, ,2.76494
73,32.3857,130.9950, , ,224.7900, ,2.76220
74,32.4187,139.5281, , ,224.7900, ,2.75947
75,32.4517,122.5230, , ,224.7900, ,2.75673
76,32.4847,129.9411, , ,224.7900, ,2.75401
77,32.5177,129.2428, , ,224.7900, ,2.75129
78,32.5507,135.6550, , ,224.7900, ,2.74858
79,32.5837,159.8007, , ,224.7900, ,2.74587
80,32.6167,144.9762, , ,224.7900, ,2.74316
81,32.6497,132.1405, , ,224.7900, ,2.74047
82,32.6827,138.8397, , ,224.7900, ,2.73778
83,32.7157,133.2126, , ,224.7900, ,2.73509
84,32.7487,129.2050, , ,224.7900, ,2.73241
85,32.7817,130.8689, , ,224.7900, ,2.72973
86,32.8147,103.2448, , ,224.7900, ,2.72706
87,32.8477,115.5982, , ,224.7900, ,2.72440
88,32.8807,114.3065, , ,224.7900, ,2.72174
89,32.9137,142.3923, , ,224.7900, ,2.71909
90,32.9467,150.3830, , ,224.7900, ,2.71644
91,32.9797,123.4021, , ,224.7900, ,2.71380
92,33.0127,118.1574, , ,224.7900, ,2.71116
93,33.0457,128.0362, , ,224.7900, ,2.70853
94,33.0787,127.5348, , ,224.7900, ,2.70590
95,33.1117,135.1091, , ,224.7900, ,2.70328
96,33.1447,125.0227, , ,224.7900, ,2.70066
97,33.1777,129.8566, , ,224.7900, ,2.69805
98,33.2107,133.5553, , ,224.7900, ,2.69545
99,33.2437,140.8421, , ,224.7900, ,2.69285
100,33.2767,138.5176, , ,224.7900, ,2.69025
101,33.3097,137.7282, , ,224.7900, ,2.68766
102,33.3427,127.1463, , ,224.7900, ,2.68508
103,33.3757,125.8492, , ,224.7900, ,2.68250
104,33.4087,126.9930, , ,224.7900, ,2.67992
105,33.4417,123.5815, , ,224.7900, ,2.67735
106,33.4747,132.0810, , ,224.7900, ,2.67479
107,33.5077,127.1092, , ,224.7900, ,2.67223
108,33.5407,111.6376, , ,224.7900, ,2.66968
109,33.5737,114.2567, , ,224.7900, ,2.66713
110,33.6067,125.2130, , ,224.7900, ,2.66458
111,33.6397,135.1013, , ,224.7900, ,2.66205
112,33.6727,120.4956, , ,224.7900, ,2.65951
113,33.7057,129.0335, , ,224.7900, ,2.65698
114,33.7387,134.8498, , ,224.7900, ,2.65446
115,33.7717,116.8314, , ,224.7900, ,2.65194
116,33.8047,113.4551, , ,224.7900, ,2.64943
